a_0,翔安王街x座 420514,s_160127
a_1,房山张街V座 641042,s_605928
a_2,高坪淮安路B座 280940,s_131728
a_3,东丽太原路Y座 678891,s_292193
a_4,南溪永安街C座 960428,s_307763
a_5,吉区高街s座 684346,s_575923
a_6,长寿郑路W座 267453,s_244674
a_7,浔阳六盘水路u座 640061,s_43985
a_8,崇文潮州路f座 735306,s_546442
a_9,闵行北镇路x座 564083,s_82771
a_10,丰都何路A座 705348,s_58414
a_11,海陵齐齐哈尔路E座 937986,s_554736
a_12,南湖罗路z座 398359,s_5258
a_13,海港台北路g座 813538,s_268545
a_14,上街北京路I座 445256,s_482152
a_15,静安张街N座 780521,s_240120
a_16,萧山太原路i座 258840,s_221564
a_17,高坪贵阳街r座 184700,s_511970
a_18,新城武汉路H座 195509,s_584473
a_19,蓟州澳门街t座 638110,s_104633
a_20,黄浦徐街s座 460156,s_364638
a_21,大兴广州路R座 297174,s_212833
a_22,翔安张街E座 669061,s_313283
a_23,沈河王路l座 133599,s_664938
a_24,东城张街r座 954863,s_298795
a_25,孝南乌鲁木齐路W座 863629,s_353511
a_26,翔安银川街c座 281360,s_26022
a_27,和平王街x座 795367,s_86965
a_28,蓟州南京路c座 352187,s_495712
a_29,黄浦齐齐哈尔路T座 662399,s_619509
a_30,翔安冯路k座 894957,s_664124
a_31,丰都夏路f座 949981,s_58908
a_32,秀英马鞍山路E座 483319,s_26115
a_33,和平陈街K座 649783,s_644292
a_34,友好甘路R座 450346,s_242140
a_35,翔安辛集街F座 941587,s_529840
a_36,梁平重庆路F座 324613,s_387040
a_37,浔阳潜江街c座 922115,s_4840
a_38,西夏刘路K座 749903,s_243043
a_39,友好吴街n座 278128,s_224593
a_40,梁平兴安盟街M座 984720,s_29312
a_41,海港宁德路m座 107025,s_516925
a_42,海陵余街a座 442299,s_73250
a_43,门头沟何街d座 662488,s_10775
a_44,龙潭郭街P座 711065,s_202783
a_45,华龙李街c座 191133,s_185996
a_46,南长广州路E座 801462,s_311100
a_47,滨城柳州街k座 987918,s_469475
a_48,新城惠州路K座 406658,s_268847
a_49,黄浦隋街a座 300155,s_185090
a_50,南长王街N座 348855,s_304092
a_51,萧山唐街Q座 322086,s_136616
a_52,闵行福州街A座 358355,s_209834
a_53,长寿太原街X座 596906,s_397071
a_54,闵行李街h座 167392,s_660470
a_55,西夏孔街O座 171212,s_572952
a_56,沈河南昌街u座 288333,s_631224
a_57,沙湾曹街v座 842677,s_95498
a_58,璧山李路s座 386684,s_127611
a_59,秀英陈路P座 286005,s_9567
a_60,牧野庞路h座 272948,s_248642
a_61,高明刘路f座 815049,s_249799
a_62,东城张路C座 706836,s_625330
a_63,山亭郭街D座 665094,s_378679
a_64,平山佘街D座 675820,s_157018
a_65,大东黄路r座 823013,s_536407
a_66,徐汇王路l座 573832,s_404852
a_67,黄浦江街k座 667944,s_87318
a_68,牧野许路l座 912595,s_147441
a_69,安次宁德路E座 104210,s_370943
a_70,沙湾上海路j座 700270,s_114824
a_71,崇文阜新路s座 543988,s_225885
a_72,魏都宜都街P座 797812,s_303538
a_73,蓟州侯路z座 422929,s_179085
a_74,兴山张家港路F座 553086,s_168155
a_75,西夏张街v座 537086,s_305781
a_76,长寿赵路K座 151816,s_381162
a_77,李路n座 267246,s_449027
a_78,大东六安街q座 744264,s_94356
a_79,怀柔澳门街v座 184230,s_238110
a_80,长寿太原路t座 949074,s_25060
a_81,蓟州凌路l座 915386,s_302073
a_82,锡山兴安盟路y座 597265,s_635168
a_83,西夏姬路m座 128556,s_171257
a_84,沈河刘路m座 509415,s_437769
a_85,沙湾兴城街r座 312415,s_172567
a_86,白云张家港路g座 921515,s_236798
a_87,沙湾赵路u座 351981,s_587575
a_88,大东柳州路G座 692278,s_470295
a_89,山亭申路t座 553889,s_584476
a_90,海港天津路o座 295809,s_374420
a_91,安次解街n座 523138,s_394072
a_92,沈河南宁路D座 519913,s_13916
a_93,大兴海口路s座 869944,s_207109
a_94,沈河海门街S座 441027,s_468118
a_95,兴山薛路f座 447367,s_105186
a_96,新城济南路Q座 863729,s_388454
a_97,平山蒋路z座 891635,s_369528
a_98,华龙合肥路A座 161816,s_524887
a_99,花溪丁街Q座 674510,s_393627
a_100,崇文宁德街e座 307864,s_290336
a_101,长寿田路M座 946451,s_346118
a_102,梁平天津路K座 964943,s_427447
a_103,赵路Y座 424857,s_395858
a_104,长寿毛路K座 474438,s_292720
a_105,平山黄路X座 828115,s_24622
a_106,牧野呼和浩特路T座 780610,s_18847
a_107,金平刘路z座 217467,s_398828
a_108,高港陈路T座 630909,s_626119
a_109,大兴马路p座 777421,s_477484
a_110,东城林街k座 308355,s_40875
a_111,西夏余路a座 169973,s_609111
a_112,沙湾孙街V座 646718,s_147869
a_113,滨城徐路S座 970781,s_489216
a_114,城东丁路K座 806521,s_423774
a_115,南溪何街x座 514342,s_86369
a_116,清河曹街y座 571209,s_315367
a_117,花溪佛山路J座 204819,s_224294
a_118,门头沟齐齐哈尔路e座 218722,s_190079
a_119,萧山赵街c座 970535,s_95911
a_120,徐汇刘街y座 418868,s_353653
a_121,吉区重庆街r座 582559,s_38702
a_122,白云张路B座 759310,s_326838
a_123,合川彭路d座 319017,s_614829
a_124,东丽辛集街H座 132766,s_655537
a_125,丰都北京路J座 725701,s_590095
a_126,朝阳万街F座 588996,s_462722
a_127,闵行柯街h座 317135,s_115974
a_128,蓟州陈路j座 949779,s_144866
a_129,黄浦彭街b座 612675,s_229186
a_130,六枝特陈路Y座 674597,s_606052
a_131,海港鲁街e座 611635,s_531921
a_132,萧山王路C座 564341,s_352034
a_133,城北济南街X座 870990,s_339155
a_134,东城王街S座 832956,s_640567
a_135,白云辽阳街w座 123323,s_84046
a_136,徐汇北京街M座 589532,s_539734
a_137,金平合肥路J座 345395,s_11674
a_138,高坪广州街E座 564946,s_584734
a_139,锡山拉萨路m座 260597,s_411110
a_140,安次福州街U座 783399,s_624664
a_141,上街沈阳街M座 978781,s_376156
a_142,崇文鲁街E座 677542,s_453457
a_143,兴山邯郸街T座 235455,s_422693
a_144,闵行仇路q座 255960,s_565033
a_145,东城哈尔滨街x座 457521,s_562396
a_146,六枝特陈路X座 257530,s_29890
a_147,高坪杨街A座 522676,s_35578
a_148,城东杭州路R座 883149,s_485444
a_149,丰都尹街j座 508000,s_342463
a_150,海港杨路z座 706672,s_77788
a_151,长寿南昌路I座 657831,s_470554
a_152,上街长春街q座 839965,s_47147
a_153,朝阳西宁路v座 582896,s_437490
a_154,静安昆明街l座 635873,s_339513
a_155,牧野商路o座 517168,s_524376
a_156,海港郑州街e座 966398,s_149740
a_157,萧山通辽路K座 139745,s_248194
a_158,六枝特戴街K座 494176,s_353549
a_159,海港哈尔滨路z座 291444,s_173690
a_160,门头沟西宁街G座 827110,s_422359
a_161,吉区周街X座 122531,s_588243
a_162,牧野惠州街F座 690885,s_260401
a_163,大兴哈尔滨路b座 492681,s_114613
a_164,清城哈尔滨街m座 227956,s_559966
a_165,清城澳门路w座 720913,s_267937
a_166,华龙辛集路D座 382197,s_227786
a_167,西夏李路n座 716896,s_252943
a_168,翔安朱路A座 740839,s_303989
a_169,门头沟柳州街K座 656163,s_396615
a_170,合川沈阳路X座 741562,s_182367
a_171,东城哈尔滨街R座 423763,s_577737
a_172,西夏杜路r座 642174,s_294538
a_173,锡山武汉路Q座 512821,s_304386
a_174,友好杨街P座 129565,s_621690
a_175,大兴孙路B座 702442,s_514663
a_176,翔安施路p座 667715,s_476696
a_177,房山南昌路C座 776465,s_534338
a_178,华龙张家港街a座 967555,s_644428
a_179,梁平惠州路s座 459646,s_511247
a_180,高坪冯路a座 403359,s_57763
a_181,秀英六安路V座 530566,s_547527
a_182,孝南杭州街U座 151662,s_297796
a_183,清浦海门街N座 849279,s_630385
a_184,龙潭东莞街s座 469521,s_146833
a_185,崇文淮安路b座 720862,s_303929
a_186,孝南南昌路l座 861364,s_329083
a_187,六枝特高街N座 414604,s_42121
a_188,双滦魏街A座 370613,s_651351
a_189,东丽张路Y座 413870,s_104410
a_190,涪城六盘水街I座 527214,s_24340
a_191,友好北镇路M座 426868,s_368287
a_192,静安哈尔滨街b座 850483,s_467143
a_193,牧野孙街T座 233804,s_627449
a_194,花溪杭州路w座 486990,s_628472
a_195,涪城郭街K座 226627,s_217621
a_196,门头沟史街E座 122111,s_582698
a_197,吉区杨街Q座 418424,s_288085
a_198,兴山通辽路b座 443377,s_184761
a_199,南长孙街H座 735911,s_470919
a_200,和平潜江路K座 977472,s_131533
a_201,南湖沈阳街T座 841499,s_562298
a_202,花溪贵阳街f座 204859,s_136910
a_203,房山邓街Q座 214407,s_122371
a_204,蓟州吴路f座 324025,s_393613
a_205,城北王街P座 928825,s_344293
a_206,永川晏街m座 864780,s_582932
a_207,黄街A座 369082,s_191941
a_208,海陵乌鲁木齐路C座 863483,s_155570
a_209,城北皮街O座 107808,s_1717
a_210,沈北新银川街l座 622362,s_52709
a_211,城东兰州街n座 859819,s_437535
a_212,蓟州缪街M座 218565,s_88072
a_213,永川萧街w座 965589,s_611766
a_214,东丽上海路X座 141228,s_514252
a_215,沈河董路A座 427025,s_193509
a_216,合川王街E座 691118,s_211412
a_217,清河王街m座 899330,s_496983
a_218,浔阳刘街l座 709456,s_250861
a_219,华龙北镇路E座 442824,s_441836
a_220,大兴刘路y座 406265,s_149342
a_221,闵行淮安路x座 398214,s_122778
a_222,朝阳潜江路e座 245208,s_109025
a_223,永川广州街r座 176453,s_442639
a_224,丰都贺街S座 539496,s_314140
a_225,江北何街H座 267469,s_274783
a_226,黄浦南宁街u座 217809,s_436828
a_227,上街刘街f座 166679,s_518708
a_228,崇文郑州街I座 121991,s_4860
a_229,崇文西宁路Q座 357275,s_178030
a_230,闵行李街I座 673349,s_4545
a_231,龙潭香港路o座 522784,s_405194
a_232,闵行安路d座 268501,s_89536
a_233,六枝特北京路P座 640162,s_521370
a_234,淄川呼和浩特路G座 808915,s_92246
a_235,高港赵路n座 878459,s_537676
a_236,友好福州路e座 658298,s_623658
a_237,南长关街g座 897107,s_469279
a_238,清浦郭街R座 558197,s_651879
a_239,永川张街Q座 754243,s_90258
a_240,嘉禾路i座 631682,s_127291
a_241,房山申路W座 147977,s_476913
a_242,滨城西宁路C座 393105,s_463136
a_243,大东南京街B座 543017,s_421503
a_244,花溪缪街r座 120277,s_82180
a_245,花溪天津街r座 235911,s_415211
a_246,牧野北京街q座 994159,s_579614
a_247,西峰银川街W座 982100,s_566829
